Date,Close
1/2/2018,139.23
1/3/2018,140.56
1/4/2018,140.55
1/5/2018,141.71
1/8/2018,141.89
1/9/2018,144.14
1/10/2018,143.97
1/11/2018,144.79
1/12/2018,145.76
1/16/2018,146.86
1/17/2018,146.98
1/18/2018,146.92
1/19/2018,147.36
1/22/2018,148.14
1/23/2018,141.83
1/24/2018,142.07
1/25/2018,144.4
1/26/2018,145.33
1/29/2018,143.68
1/30/2018,142.43
1/31/2018,138.19
2/1/2018,140.02
2/2/2018,137.68
2/5/2018,130.39
2/6/2018,131.83
2/7/2018,131.42
2/8/2018,126.36
2/9/2018,129.53
2/12/2018,130.27
2/13/2018,129.96
2/14/2018,129.67
2/15/2018,131.23
2/16/2018,133.15
2/20/2018,130.87
2/21/2018,129.91
2/22/2018,129.91
2/23/2018,132.02
2/26/2018,132.07
2/27/2018,131.67
2/28/2018,129.88
3/1/2018,127.28
3/2/2018,128.82
3/5/2018,129.79
3/6/2018,128.22
3/7/2018,129.04
3/8/2018,132.06
3/9/2018,133.8
3/12/2018,132.63
3/13/2018,134.35
3/14/2018,132.32
3/15/2018,133.06
3/16/2018,133.68
3/19/2018,130.24
3/20/2018,131.21
3/21/2018,131.19
3/22/2018,127.38
3/23/2018,125.1
3/26/2018,127.39
3/27/2018,127.21
3/28/2018,127.45
3/29/2018,128.15
4/2/2018,124.56
4/3/2018,128.35
4/4/2018,130.41
4/5/2018,130.71
4/6/2018,128.1
4/9/2018,129.48
4/10/2018,130.25
4/11/2018,129.63
4/12/2018,130.43
4/13/2018,130.62
4/16/2018,131.76
4/17/2018,130.54
4/18/2018,127.72
4/19/2018,127.55
4/20/2018,126.66
4/23/2018,126.83
4/24/2018,126.19
4/25/2018,126.76
4/26/2018,128.01
4/27/2018,128.27
4/30/2018,126.49
5/1/2018,126.01
5/2/2018,123.5
5/3/2018,123.03
5/4/2018,124.19
5/7/2018,123.59
5/8/2018,122.61
5/9/2018,123.51
5/10/2018,125.35
5/11/2018,127.24
5/14/2018,126.06
5/15/2018,125.13
5/16/2018,125.35
5/17/2018,123.85
5/18/2018,124.24
5/21/2018,123.72
5/22/2018,122.91
5/23/2018,123.45
5/24/2018,122.25
5/25/2018,121.47
5/29/2018,119.4
5/30/2018,120.97
5/31/2018,120.97
6/1/2018,121.26
6/4/2018,121.95
6/5/2018,121.48
6/6/2018,122.79
6/7/2018,123.33
6/8/2018,124.06
6/11/2018,122.66
6/12/2018,122.54
6/13/2018,122.63
6/14/2018,122.41
6/15/2018,122.61
6/18/2018,121.32
6/19/2018,122.57
6/20/2018,122.04
6/21/2018,121.45
6/22/2018,122.84
6/25/2018,122.59
6/26/2018,122.35
6/27/2018,121.61
6/28/2018,122
6/29/2018,121.34
7/2/2018,121.58
7/3/2018,122.71
7/5/2018,125
7/6/2018,125.75
7/9/2018,126.05
7/10/2018,127.38
7/11/2018,126.24
7/12/2018,127.76
7/13/2018,125.93
7/16/2018,124.69
7/17/2018,129.11
7/18/2018,127.8
7/19/2018,125.94
7/20/2018,125.85
7/23/2018,126.63
7/24/2018,129.36
7/25/2018,128.62
7/26/2018,130.28
7/27/2018,131.55
7/30/2018,132.17
7/31/2018,132.52
8/1/2018,132.64
8/2/2018,131.25
8/3/2018,131.95
8/6/2018,132.02
8/7/2018,131.46
8/8/2018,131.17
8/9/2018,131.2
8/10/2018,130.75
8/13/2018,130.22
8/14/2018,129.5
8/15/2018,130.43
8/16/2018,132.48
8/17/2018,134.47
