Date,Close
1/2/2018,40.14
1/3/2018,40.41
1/4/2018,40.77
1/5/2018,40.74
1/8/2018,40.73
1/9/2018,40.24
1/10/2018,39.16
1/11/2018,39.49
1/12/2018,39.74
1/16/2018,39.78
1/17/2018,39.81
1/18/2018,39.72
1/19/2018,39.39
1/22/2018,39.64
1/23/2018,39.49
1/24/2018,39.5
1/25/2018,38.62
1/26/2018,38.19
1/29/2018,37.58
1/30/2018,36.81
1/31/2018,36.63
2/1/2018,35.86
2/2/2018,34.7
2/5/2018,34.37
2/6/2018,35.04
2/7/2018,35.16
2/8/2018,34.34
2/9/2018,34.02
2/12/2018,34.73
2/13/2018,35.03
2/14/2018,34.3
2/15/2018,34.55
2/16/2018,34.27
2/20/2018,34.08
2/21/2018,34.11
2/22/2018,33.48
2/23/2018,33.76
2/26/2018,33.92
2/27/2018,32.99
2/28/2018,31.82
3/1/2018,31.81
3/2/2018,31.48
3/5/2018,31.57
3/6/2018,31.77
3/7/2018,31.43
3/8/2018,31.88
3/9/2018,32.01
3/12/2018,32.66
3/13/2018,32.89
3/14/2018,33.09
3/15/2018,31.46
3/16/2018,31.54
3/19/2018,30.7
3/20/2018,29.93
3/21/2018,31.13
3/22/2018,30.63
3/23/2018,29.91
3/26/2018,29.95
3/27/2018,30.44
3/28/2018,30.36
3/29/2018,31.47
4/2/2018,30.59
4/3/2018,30.31
4/4/2018,30.89
4/5/2018,31.49
4/6/2018,31.23
4/9/2018,31.62
4/10/2018,32.09
4/11/2018,31.9
4/12/2018,31.95
4/13/2018,32.06
4/16/2018,32.59
4/17/2018,32.98
4/18/2018,33.1
4/19/2018,31.98
4/20/2018,31.21
4/23/2018,31.01
4/24/2018,29.39
4/25/2018,29.27
4/26/2018,29.42
4/27/2018,29.8
4/30/2018,30.27
5/1/2018,30.62
5/2/2018,30.67
5/3/2018,30.9
5/4/2018,31.38
5/7/2018,31.56
5/8/2018,31.2
5/9/2018,32.11
5/10/2018,33.12
5/11/2018,33.76
5/14/2018,33.25
5/15/2018,33.07
5/16/2018,32.7
5/17/2018,33
5/18/2018,32.16
5/21/2018,31.94
5/22/2018,31.57
5/23/2018,31.77
5/24/2018,31.58
5/25/2018,31.24
5/29/2018,30.6
5/30/2018,31.13
5/31/2018,31.13
6/1/2018,30.73
6/4/2018,31.17
6/5/2018,31.5
6/6/2018,30.97
6/7/2018,31.29
6/8/2018,31.33
6/11/2018,32.26
6/12/2018,32.46
6/13/2018,32.41
6/14/2018,32.6
6/15/2018,32.03
6/18/2018,32.31
6/19/2018,31.7
6/20/2018,31.75
6/21/2018,31.26
6/22/2018,31.73
6/25/2018,31.28
6/26/2018,32.16
6/27/2018,31.68
6/28/2018,33.11
6/29/2018,35.69
7/2/2018,35
7/3/2018,35.19
7/5/2018,35.1
7/6/2018,35.61
7/9/2018,35.47
7/10/2018,35.79
7/11/2018,35.41
7/12/2018,35.83
7/13/2018,35.58
7/16/2018,35.36
7/17/2018,34.5
7/18/2018,34.21
7/19/2018,35.24
7/20/2018,34.61
7/23/2018,34.56
7/24/2018,34.81
7/25/2018,34.94
7/26/2018,35.15
7/27/2018,34.94
7/30/2018,35.31
7/31/2018,35.43
8/1/2018,35.26
8/2/2018,35.45
8/3/2018,35.95
8/6/2018,36.51
8/7/2018,35.87
8/8/2018,35.77
8/9/2018,36.19
8/10/2018,35.88
8/13/2018,35.7
8/14/2018,35.51
8/15/2018,35.08
8/16/2018,34.9
8/17/2018,36.03
8/20/2018,36.22
8/21/2018,35.89
8/22/2018,36.18
8/23/2018,36
8/24/2018,35.54
8/27/2018,35.59
8/28/2018,35.01
8/29/2018,34.89
8/30/2018,34.76
8/31/2018,34.17
9/4/2018,34.11
9/5/2018,34.63
9/6/2018,34.26
9/7/2018,34.02
9/10/2018,33.75
9/11/2018,34.32
9/12/2018,34.16
9/13/2018,34.13
9/14/2018,33.89
9/17/2018,34.28
9/18/2018,34.53
9/19/2018,34.61
9/20/2018,34.4
9/21/2018,34.43
9/24/2018,33.82
9/25/2018,33.13
9/26/2018,32.42
9/27/2018,32.42
9/28/2018,32.29
10/1/2018,33.18
10/2/2018,33.36
10/3/2018,33.79
10/4/2018,33.9
10/5/2018,33.71
10/8/2018,33.7
10/9/2018,33.7
10/10/2018,32.67
10/11/2018,31.84
10/12/2018,31.98
10/15/2018,32.32
10/16/2018,33.39
10/17/2018,32.41
10/18/2018,32.37
10/19/2018,32.69
10/22/2018,32.2
